Super Mario World,retro
Snake,retro
Tetris,retro
Pac-Man,retro
Goldeneye 007,retro
Doom,retro
Pokémon Red,retro
Tomb Raider,retro
Super Metroid,retro
Space Invaders,retro
Europa Universalis 4,estratégia
victoria II,estratégia
Crusader Kings II,estratégia
Sid Meier's Civilization VI,estratégia
XCOM 2,estratégia
Into the Breach,estratégia
Warcraft 3,estratégia
StarCraft 2,estratégia
Company of Heroes 3,estratégia
Stellaris,estratégia
Celeste,indie
The Binding of Isaac,indie
Super Meat Boy,indie
Cuphead,indie
Stardew Valley,indie
Minecraft,indie
Rocket League,indie
Hollow Knight,indie
Terraria,indie
Hades,indie
Call of Duty 4: Modern Warfare,first person shooter
Half-Life 2,first person shooter
Counter-Strike,first person shooter
BioShock,first person shooter
Halo 3,first person shooter
Street Fighter III,Fighter
Dragon Ball FighterZ,Fighter
Ultimate Marvel vs. Capcom 3,Fighter
Mortal Kombat,Fighter
Super Smash Bros: Ultimate,Fighter
Battlefield 1,first person shooter
Far Cry 6,first person shooter
valorant,first person shooter
Apex Legends,first person shooter
Destiny 2,first person shooter
Borderlands 3,first person shooter
Soulcalibur VI,Fighter
Injustice 2,Fighter
Naruto Shippuden: Ultimate Ninja Storm 4,Fighter
Brawlhalla,Fighter
Dead or Alive 6,Fighter
